key_bits,recovered_zeros_x,recovered_zeros_y,wrong_zeros_x,wrong_zeros_y,queries,traces,calibration_traces,threshold,tpr,tnr,attack_tpr,attack_tnr,duration_seconds,test_outcomes_0_false,test_outcomes_0_true,test_outcomes_1_false,test_outcomes_1_true,test_outcomes_2_false,test_outcomes_2_true
17669,10994,10330,0,0,33558,,,,,,1,1,6.871984775,17534,7868,7580,288,2,286
17669,11445,10340,0,0,34115,,,,,,1,1,7.092859677,17666,8067,7752,315,3,312
17669,10801,11796,6,4,33598,,,,,,1,1,7.19280887,17366,7959,7645,314,1,313
17669,11113,9767,3,0,34103,,,,,,1,1,7.254488988,18124,7863,7610,253,1,252
17669,10549,9811,0,2,35285,,,,,,1,1,7.323526441,18490,8253,7964,289,4,285
17669,10611,9278,2,0,35321,,,,,,1,1,7.378956039,18625,8206,7922,284,4,280
17669,9989,10379,0,0,36009,,,,,,1,1,7.390278967,18647,8517,8189,328,2,326
17669,10061,12227,2,2,34634,,,,,,1,1,7.391324649,17979,8151,7798,353,2,351
17669,9853,11346,2,2,34858,,,,,,1,1,7.3986423519999995,18272,8108,7738,370,16,354
17669,11742,10467,0,2,35348,,,,,,1,1,7.401202101,18009,8492,8137,355,3,352
17669,10358,10907,0,3,34635,,,,,,1,1,7.412274546,18190,8065,7750,315,1,314
17669,11332,10269,2,0,35442,,,,,,1,1,7.431396333,18292,8413,8089,324,8,316
17669,10902,10424,4,0,36383,,,,,,1,1,7.441134033,18668,8701,8388,313,5,308
17669,10896,9351,1,1,35527,,,,,,1,1,7.461699536,18662,8287,7996,291,1,290
17669,11500,10477,2,0,36021,,,,,,1,1,7.472020023,18507,8599,8283,316,1,315
17669,10413,10261,2,0,36142,,,,,,1,1,7.534604262,18561,8643,8348,295,1,294
17669,9514,10878,2,0,36288,,,,,,1,1,7.5714255900000005,18262,8861,8557,304,3,301
17669,10230,11263,0,1,37335,,,,,,1,1,7.585168425,18925,9036,8698,338,0,338
17669,9619,9271,2,2,35461,,,,,,1,1,7.611914148,18559,8310,8028,282,13,269
17669,10516,10759,2,0,36096,,,,,,1,1,7.640234759,18566,8601,8273,328,1,327
17669,11338,11019,2,2,37236,,,,,,1,1,7.719886782,18940,8967,8605,362,9,353
