key_bits,recovered_zeros_x,recovered_zeros_y,wrong_zeros_x,wrong_zeros_y,queries,traces,calibration_traces,threshold,tpr,tnr,attack_tpr,attack_tnr,duration_seconds,test_outcomes_0_false,test_outcomes_0_true,test_outcomes_1_false,test_outcomes_1_true,test_outcomes_2_false,test_outcomes_2_true
17669,10306,8885,0,0,956,,,,,,1,1,0.201517299,368,249,159,90,0,90
17669,8634,10547,0,0,1129,,,,,,1,1,0.263411283,434,299,202,97,0,97
17669,8939,10237,2,2,1264,,,,,,1,1,0.271378526,517,318,207,111,0,111
17669,10597,8728,0,2,1308,,,,,,1,1,0.280834559,501,349,240,109,0,109
17669,9869,9332,0,0,1454,,,,,,1,1,0.314765061,596,373,261,112,0,112
17669,9483,9688,2,2,1883,,,,,,1,1,0.38631225,748,507,386,121,0,121
17669,9228,10167,2,0,1925,,,,,,1,1,0.397542696,832,487,368,119,1,118
17669,8986,10555,0,2,2221,,,,,,1,1,0.455683432,937,574,438,136,1,135
17669,10943,8532,0,0,2237,,,,,,1,1,0.458703881,938,572,417,155,0,155
17669,10122,9360,0,1,917,,,,,,1,1,0.197645828,328,246,149,97,0,97
17669,9264,9944,2,0,2418,,,,,,1,1,0.492990326,1039,619,478,141,2,139
17669,9806,9687,0,0,2422,,,,,,1,1,0.525623091,1007,634,487,147,1,146
17669,9817,9660,0,0,2633,,,,,,1,1,0.549845296,1165,668,536,132,0,132
17669,9607,9570,0,0,2712,,,,,,1,1,0.560504824,1157,700,545,155,0,155
17669,8936,10258,0,2,1268,,,,,,1,1,0.275631392,495,331,220,111,0,111
17669,10399,8786,0,2,951,,,,,,1,1,0.202113347,405,227,135,92,2,90
17669,9865,9588,0,0,2006,,,,,,1,1,0.415806924,824,525,393,132,0,132
17669,9205,9965,0,0,1826,,,,,,1,1,0.377294384,791,460,345,115,0,115
17669,9769,9405,2,0,1070,,,,,,1,1,0.245623442,440,263,159,104,0,104
17669,10389,8807,0,0,3517,,,,,,1,1,0.717612606,1695,840,698,142,0,142
17669,10208,8969,0,2,3381,,,,,,1,1,0.72020765,1540,845,694,151,0,151
17669,9076,10115,0,0,3633,,,,,,1,1,0.772996616,1609,929,763,166,0,166
17669,9474,9698,0,2,1641,,,,,,1,1,0.341917884,691,419,307,112,0,112
17669,9386,9825,0,0,1204,,,,,,1,1,0.315975767,494,303,199,104,1,103
17669,9485,9706,0,0,2111,,,,,,1,1,0.43859649,916,528,389,139,0,139
17669,8934,10240,2,0,4749,,,,,,1,1,0.999023613,2200,1191,1024,167,0,167
17669,9555,9626,0,0,2713,,,,,,1,1,0.55241567,1197,686,542,144,0,144
17669,9490,9699,0,0,820,,,,,,1,1,0.175846215,297,220,137,83,0,83
17669,9992,9231,2,0,2290,,,,,,1,1,0.479887036,1060,549,417,132,0,132
17669,9367,9804,0,0,1683,,,,,,1,1,0.380586507,660,450,327,123,0,123
17669,10109,9068,0,0,2096,,,,,,1,1,0.447652678,929,522,399,123,0,123
17669,9794,9391,0,0,3299,,,,,,1,1,0.676536953,1536,813,676,137,0,137
17669,8759,10410,0,0,5834,,,,,,1,1,1.228497736,2872,1398,1232,166,1,165
17669,9550,9655,0,0,1211,,,,,,1,1,0.256193729,483,316,220,96,0,96
