key_bits,recovered_zeros_x,recovered_zeros_y,wrong_zeros_x,wrong_zeros_y,queries,traces,calibration_traces,threshold,tpr,tnr,attack_tpr,attack_tnr,duration_seconds,test_outcomes_0_false,test_outcomes_0_true,test_outcomes_1_false,test_outcomes_1_true,test_outcomes_2_false,test_outcomes_2_true
17669,8369,9506,0,0,970,,,,,,1,1,0.139936332,151,133,71,62,0,62
17669,7777,10020,0,0,1024,,,,,,1,1,0.143791139,160,143,79,64,0,64
17669,8069,9626,2,0,1056,,,,,,1,1,0.154321289,175,140,73,67,0,67
17669,9462,8223,0,0,1312,,,,,,1,1,0.187946135,210,185,115,70,0,70
17669,10463,7212,0,0,1372,,,,,,1,1,0.189233291,225,190,117,73,0,73
17669,9671,8018,0,0,1352,,,,,,1,1,0.191161565,243,176,101,75,0,75
17669,8868,8819,0,0,1414,,,,,,1,1,0.195626791,242,191,113,78,0,78
17669,9415,8632,0,0,1484,,,,,,1,1,0.205994139,265,193,111,82,0,82
17669,9121,8816,0,0,1426,,,,,,1,1,0.206516835,257,184,106,78,1,77
17669,9347,8381,0,0,1354,,,,,,1,1,0.206268992,239,178,104,74,0,74
17669,9574,8392,0,0,1732,,,,,,1,1,0.234204018,349,214,137,77,0,77
17669,9787,7916,0,0,1856,,,,,,1,1,0.256581344,336,250,166,84,0,84
17669,9180,8498,0,0,1908,,,,,,1,1,0.256883808,391,233,146,87,0,87
17669,9011,8663,0,0,2442,,,,,,1,1,0.328724707,448,326,220,106,0,106
17669,8736,8963,0,0,2458,,,,,,1,1,0.332682476,512,307,213,94,0,94
17669,9530,8203,0,0,2492,,,,,,1,1,0.338091132,495,322,226,96,0,96
17669,8198,9500,0,0,1102,,,,,,1,1,0.153418507,193,142,73,69,1,68
17669,8632,9045,0,0,1520,,,,,,1,1,0.208111565,293,193,122,71,0,71
17669,8054,9753,2,0,2728,,,,,,1,1,0.364030233,562,346,252,94,0,94
17669,8261,9552,0,0,1290,,,,,,1,1,0.176000117,224,173,101,72,0,72
17669,9406,8584,0,0,2806,,,,,,1,1,0.378019497,587,341,228,113,0,113
17669,8212,9526,0,0,1448,,,,,,1,1,0.197954129,258,190,109,81,0,81
17669,8883,8963,0,0,1508,,,,,,1,1,0.216674401,284,192,117,75,0,75
17669,8940,8746,0,0,1748,,,,,,1,1,0.233959465,318,229,146,83,0,83
17669,8619,9062,0,0,1490,,,,,,1,1,0.205181997,279,193,115,78,0,78
17669,8829,8858,0,0,3304,,,,,,1,1,0.44209636,701,410,297,113,0,113
17669,8201,9530,0,0,3318,,,,,,1,1,0.45024982,700,421,322,99,0,99
17669,9282,8417,0,2,2004,,,,,,1,1,0.26992421,416,245,158,87,0,87
17669,9857,7975,0,0,3892,,,,,,1,1,0.518839298,852,480,366,114,0,114
17669,8668,9032,0,0,1440,,,,,,1,1,0.196522971,251,193,119,74,1,73
17669,8811,9111,0,2,1548,,,,,,1,1,0.213548872,311,189,114,75,0,75
17669,8582,9314,0,0,4170,,,,,,1,1,0.558885094,918,516,397,119,0,119
17669,8649,9025,0,0,2612,,,,,,1,1,0.367322954,509,341,238,103,0,103
17669,8654,9031,0,0,2324,,,,,,1,1,0.317777791,470,296,201,95,0,95
17669,9124,8589,0,0,1286,,,,,,1,1,0.176761557,243,162,90,72,0,72
17669,9534,8156,0,0,1606,,,,,,1,1,0.216093574,253,232,155,77,1,76
17669,10229,7467,0,0,1098,,,,,,1,1,0.166448879,172,152,85,67,0,67
17669,9029,8745,0,0,1070,,,,,,1,1,0.147678757,163,150,85,65,0,65
17669,9283,8392,0,0,1406,,,,,,1,1,0.191965434,271,174,98,76,0,76
17669,8548,9131,0,0,2242,,,,,,1,1,0.302870867,424,298,207,91,0,91
17669,9198,8489,0,0,1018,,,,,,1,1,0.142102468,189,124,57,67,0,67
17669,8619,9056,0,0,1728,,,,,,1,1,0.234973697,331,223,143,80,0,80
17669,8463,9409,0,0,5172,,,,,,1,1,0.688395276,1123,659,539,120,0,120
17669,9263,8424,0,0,2526,,,,,,1,1,0.338939543,520,318,227,91,0,91
17669,8748,8928,0,2,1900,,,,,,1,1,0.265077989,346,251,167,84,0,84
17669,8565,9243,0,0,1930,,,,,,1,1,0.26027609,374,252,169,83,0,83
17669,8991,8692,0,0,1358,,,,,,1,1,0.189771099,242,181,113,68,0,68
17669,8678,9298,0,0,1332,,,,,,1,1,0.186485967,244,173,101,72,1,71
17669,10043,7672,0,0,1310,,,,,,1,1,0.180187649,233,172,100,72,0,72
17669,9509,8176,0,2,1818,,,,,,1,1,0.245527587,327,244,159,85,1,84
17669,7649,10060,0,0,3306,,,,,,1,1,0.437194748,685,422,317,105,0,105
17669,9006,9026,0,2,1512,,,,,,1,1,0.206381073,288,192,116,76,0,76
17669,8832,9142,0,0,1176,,,,,,1,1,0.168832649,193,159,90,69,0,69
17669,9075,8634,0,0,1344,,,,,,1,1,0.191776582,241,178,104,74,0,74
17669,8618,9089,0,0,4156,,,,,,1,1,0.549126793,955,507,410,97,1,96
17669,8422,9316,0,0,2046,,,,,,1,1,0.274470345,415,253,160,93,0,93
17669,9162,8512,0,0,1308,,,,,,1,1,0.180136898,231,173,103,70,2,68
17669,8284,9408,0,0,1666,,,,,,1,1,0.228169723,315,217,139,78,0,78
17669,8848,8956,0,0,4140,,,,,,1,1,0.549348376,861,532,412,120,1,119
17669,9631,8086,0,0,2806,,,,,,1,1,0.381398158,537,376,273,103,0,103
17669,8489,9533,0,0,2860,,,,,,1,1,0.378120738,570,371,267,104,0,104
17669,8046,9667,0,0,1304,,,,,,1,1,0.211886112,210,182,108,74,0,74
17669,9602,8229,0,0,5754,,,,,,1,1,0.76150437,1192,754,610,144,0,144
17669,8011,9669,0,0,6744,,,,,,1,1,0.88757728,1531,836,705,131,0,131
17669,9060,8614,0,0,2148,,,,,,1,1,0.292259005,436,272,184,88,0,88
