key_bits,recovered_zeros_x,recovered_zeros_y,wrong_zeros_x,wrong_zeros_y,queries,traces,calibration_traces,threshold,tpr,tnr,attack_tpr,attack_tnr,duration_seconds,test_outcomes_0_false,test_outcomes_0_true,test_outcomes_1_false,test_outcomes_1_true,test_outcomes_2_false,test_outcomes_2_true
17669,10088,10331,0,0,1869,,,,,,1,1,0.385343936,788,471,332,139,0,139
17669,9040,11381,0,0,2204,,,,,,1,1,0.452391844,988,537,395,142,0,142
17669,10416,10196,0,2,2218,,,,,,1,1,0.458431635,969,556,419,137,1,136
17669,9443,10979,2,2,2466,,,,,,1,1,0.544758509,1069,616,451,165,2,163
17669,11011,9680,0,0,2775,,,,,,1,1,0.564876206,1222,699,544,155,0,155
17669,10498,9924,0,0,2746,,,,,,1,1,0.577846378,1228,683,531,152,0,152
17669,10893,9883,2,0,2992,,,,,,1,1,0.624542726,1379,727,568,159,1,158
17669,9561,11130,0,0,3197,,,,,,1,1,0.654309846,1403,822,672,150,0,150
17669,10699,10024,0,0,3216,,,,,,1,1,0.664139171,1470,793,633,160,0,160
17669,10537,9924,0,2,3872,,,,,,1,1,0.793689723,1824,947,793,154,2,152
17669,10421,10128,2,2,1841,,,,,,1,1,0.49209917,816,449,322,127,0,127
17669,9901,10557,0,0,1374,,,,,,1,1,0.30815984,552,353,237,116,2,114
17669,10377,10063,0,0,4342,,,,,,1,1,0.887030749,2038,1066,894,172,1,171
17669,11183,9479,0,2,4878,,,,,,1,1,1.035635125,2269,1210,1021,189,0,189
17669,10142,10559,0,0,4872,,,,,,1,1,1.061057813,2326,1184,1006,178,0,178
17669,9735,10707,0,0,2542,,,,,,1,1,0.530707435,1128,636,494,142,0,142
17669,10247,10172,0,0,2921,,,,,,1,1,0.600386592,1276,741,578,163,0,163
17669,9727,11021,0,2,2627,,,,,,1,1,0.537113369,1148,661,504,157,0,157
17669,10257,10191,0,2,2143,,,,,,1,1,0.438665862,905,551,415,136,2,134
17669,10073,10366,4,0,2729,,,,,,1,1,0.565741305,1217,685,543,142,2,140
17669,10756,9665,0,0,7113,,,,,,1,1,1.480955636,3448,1725,1510,215,0,215
17669,10585,9845,0,0,2308,,,,,,1,1,0.469548255,982,590,444,146,1,145
17669,11429,9159,0,0,1624,,,,,,1,1,0.413612249,663,424,311,113,0,113
17669,9889,10842,0,0,5585,,,,,,1,1,1.136610372,2695,1349,1157,192,0,192
17669,10160,10261,0,0,3181,,,,,,1,1,0.65550981,1445,789,631,158,0,158
17669,10854,9578,0,0,8432,,,,,,1,1,1.757755199,4171,2032,1835,197,0,197
17669,10422,10034,0,0,2272,,,,,,1,1,0.465796822,1028,553,415,138,0,138
17669,10551,10096,2,0,3261,,,,,,1,1,0.670266445,1516,792,631,161,2,159
