key_bits,recovered_zeros_x,recovered_zeros_y,wrong_zeros_x,wrong_zeros_y,queries,traces,calibration_traces,threshold,tpr,tnr,attack_tpr,attack_tnr,duration_seconds,test_outcomes_0_false,test_outcomes_0_true,test_outcomes_1_false,test_outcomes_1_true,test_outcomes_2_false,test_outcomes_2_true
17669,9489,11260,0,0,1737,,,,,,1,1,0.360200937,748,430,301,129,0,129
17669,10478,10286,0,0,2406,,,,,,1,1,0.508139318,983,637,488,149,0,149
17669,10908,9894,2,0,2663,,,,,,1,1,0.565136969,1164,671,514,157,1,156
17669,10887,9914,2,2,3211,,,,,,1,1,0.701243521,1455,800,644,156,2,154
17669,10677,10057,0,0,4339,,,,,,1,1,0.88139818,2047,1065,903,162,2,160
17669,11560,9470,0,2,4141,,,,,,1,1,0.911019184,1876,1055,900,155,0,155
17669,9653,11081,2,2,4559,,,,,,1,1,1.002538792,2176,1095,902,193,4,189
17669,10911,9823,0,0,5116,,,,,,1,1,1.060466885,2426,1252,1066,186,0,186
17669,10413,10578,0,2,5272,,,,,,1,1,1.096934206,2447,1312,1111,201,3,198
17669,10854,10056,0,2,4847,,,,,,1,1,1.099777672,2197,1230,1040,190,1,189
17669,10211,10589,0,0,5133,,,,,,1,1,1.110062902,2498,1220,1025,195,0,195
17669,10474,10257,0,0,5594,,,,,,1,1,1.201700432,2571,1405,1192,213,0,213
17669,9873,10868,0,0,2961,,,,,,1,1,0.667481044,1269,768,612,156,0,156
17669,10548,10431,2,2,3495,,,,,,1,1,0.797823053,1638,842,669,173,0,173
17669,10335,10745,2,0,1369,,,,,,1,1,0.285968488,550,350,231,119,2,117
17669,10514,10295,0,0,6084,,,,,,1,1,1.41349255,2888,1499,1301,198,2,196
17669,10222,10587,0,0,7372,,,,,,1,1,1.4943102129999999,3565,1795,1578,217,1,216
17669,10658,10080,0,1,2523,,,,,,1,1,0.590284447,1085,637,473,164,1,163
17669,9971,10844,0,2,2185,,,,,,1,1,0.447563041,866,582,427,155,1,154
17669,9175,11569,0,0,2969,,,,,,1,1,0.602872007,1283,771,627,144,0,144
17669,11411,9352,2,0,2763,,,,,,1,1,0.56994213,1172,717,560,157,0,157
17669,10236,10495,0,0,4104,,,,,,1,1,0.86646963,1906,1010,832,178,2,176
17669,11805,8933,0,0,3284,,,,,,1,1,0.775540721,1497,818,667,151,0,151
17669,10166,10566,0,0,4381,,,,,,1,1,0.963761182,1996,1099,912,187,0,187
17669,9928,10935,0,4,11538,,,,,,1,1,2.331594635,5697,2801,2562,239,1,238
17669,10993,9994,0,4,7318,,,,,,1,1,1.491388216,3567,1782,1595,187,2,185
17669,11092,9640,0,2,2968,,,,,,1,1,0.593345855,1353,729,572,157,0,157
17669,9760,11335,0,0,4791,,,,,,1,1,0.986576171,2258,1181,1010,171,0,171
17669,10650,10454,0,0,5723,,,,,,1,1,1.163734541,2821,1357,1169,188,0,188
17669,9917,10980,0,0,8743,,,,,,1,1,1.778178344,4289,2107,1867,240,0,240
17669,10912,10002,0,2,13888,,,,,,1,1,2.892264848,6990,3323,3071,252,0,252
17669,10183,10829,0,0,14511,,,,,,1,1,3.097448784,7236,3503,3234,269,0,269
17669,10995,9738,2,0,16230,,,,,,1,1,3.398090526,8396,3805,3581,224,1,223
17669,9839,10899,0,0,4132,,,,,,1,1,0.92093044,1883,1031,844,187,0,187
17669,10552,10351,0,2,3396,,,,,,1,1,0.914928745,1614,816,666,150,2,148
17669,9477,11257,0,4,6484,,,,,,1,1,1.4122440969999999,3113,1581,1372,209,2,207
17669,10936,9795,0,0,10527,,,,,,1,1,2.21881752,5386,2455,2224,231,2,229
17669,11051,9683,2,0,2460,,,,,,1,1,0.546743357,1091,607,452,155,1,154
17669,10846,10245,5,0,15474,,,,,,1,1,3.434736752,7774,3719,3457,262,2,260
17669,10098,10785,0,4,15070,,,,,,1,1,3.098842153,7652,3582,3328,254,1,253
17669,10169,10593,0,2,22351,,,,,,1,1,4.544601763,11594,5226,4921,305,3,302
17669,10896,9351,1,1,35491,,,,,,1,1,7.409738838,18663,8275,7997,278,1,277
17669,8813,10486,0,4,36976,,,,,,1,1,7.644869852,18954,8863,8567,296,8,288
17669,9455,11298,2,0,4287,,,,,,1,1,0.868835382,1983,1055,861,194,2,192
17669,9633,10520,2,2,36146,,,,,,1,1,7.750637211,18856,8498,8204,294,6,288
17669,9514,10878,2,0,36174,,,,,,1,1,7.778662305,18259,8824,8557,267,2,265
17669,10020,9149,2,0,37832,,,,,,1,1,7.859635529,19169,9180,8877,303,1,302
17669,10341,8234,0,0,36744,,,,,,1,1,7.648480988,18950,8773,8525,248,2,246
17669,10845,8230,2,0,39045,,,,,,1,1,8.185691775,19685,9529,9227,302,8,294
17669,10565,9329,4,0,35975,,,,,,1,1,7.517021306,18463,8615,8333,282,4,278
17669,11338,9540,0,0,8255,,,,,,1,1,1.7539514299999999,3918,2053,1822,231,1,230
17669,10908,9985,0,2,4100,,,,,,1,1,0.838021263,1900,1016,848,168,1,167
17669,10372,10538,0,0,33713,,,,,,1,1,7.331834064,17357,8012,7680,332,3,329
17669,9733,10999,0,0,5071,,,,,,1,1,1.045630259,2367,1255,1061,194,0,194
17669,10379,10159,4,0,37630,,,,,,1,1,7.828263325,19261,9029,8718,311,0,311
17669,10246,10491,4,0,3849,,,,,,1,1,0.782026995,1780,949,778,171,4,167
17669,10462,10129,4,2,37217,,,,,,1,1,7.810405059,18845,9039,8745,294,4,290
17669,10179,10563,0,0,3232,,,,,,1,1,0.668211754,1419,826,665,161,0,161
