key_bits,recovered_zeros_x,recovered_zeros_y,wrong_zeros_x,wrong_zeros_y,queries,traces,calibration_traces,threshold,tpr,tnr,duration_seconds
17669,7539,10160,0,0,5511996,,,,,,1827.776056623
17669,9784,7910,0,0,5088314,,,,,,1640.319154486
17669,9064,8616,0,0,5308896,,,,,,1756.493022067
17669,9069,8614,0,0,3644180,,,,,,1149.460867144
17669,8577,9100,0,0,4174298,,,,,,1290.115811067
17669,9959,7770,0,0,9728502,,,,,,3094.522372417
17669,8991,8692,0,0,3506064,,,,,,1150.137465936
17669,8668,9032,0,0,3684800,,,,,,1170.602660605
17669,9198,8674,0,0,5524524,,,,,,1826.236270344
17669,9454,8420,0,0,4069504,,,,,,1268.031749168
17669,9463,8232,0,0,6422568,,,,,,2034.776246063
17669,9452,8341,0,0,8593040,,,,,,2794.921381358
17669,9232,8464,0,0,14777382,,,,,,4804.546688176
17669,7670,10011,0,2,7355766,,,,,,2388.377415727
17669,9027,8686,0,0,3044394,,,,,,1002.390308178
17669,8101,9709,0,4,5750174,,,,,,1827.291867988
17669,8651,9023,2,0,14823376,,,,,,4957.669431684
17669,8453,9239,0,0,3702262,,,,,,1229.521078694
17669,9272,8404,0,0,3828684,,,,,,1215.263128466
17669,8905,8770,0,0,15620876,,,,,,5131.345121948
17669,9047,8645,0,0,3781966,,,,,,1170.26395095
17669,10015,7666,0,0,6811336,,,,,,2167.999095488
17669,8697,9078,0,0,4409250,,,,,,1426.78004284
17669,8839,8900,0,0,6521356,,,,,,2122.392419448
17669,9029,8745,0,0,2656624,,,,,,830.46897011
17669,8156,9682,2,0,2818194,,,,,,914.987025941
17669,7365,10558,0,0,13438432,,,,,,4367.779976009
17669,8261,9497,0,0,2665830,,,,,,855.705107435
17669,9205,8814,0,0,5168164,,,,,,1690.709086792
17669,9140,8553,0,0,3524128,,,,,,1139.312492856
17669,9824,7850,2,0,6657632,,,,,,2107.806441741
17669,9170,8617,0,0,4600798,,,,,,1449.909979664
17669,9989,7797,0,0,12706918,,,,,,4033.699964083
17669,8885,8792,0,0,9086138,,,,,,2866.926014306
17669,8307,9393,0,0,8398292,,,,,,2737.159395751
17669,8532,9143,0,0,6506600,,,,,,2076.740276587
17669,8627,9054,0,0,7535136,,,,,,2403.661946276
17669,8845,8972,0,0,8523040,,,,,,2736.441352339
17669,8665,9009,0,0,9165046,,,,,,2885.073407591
17669,9260,8486,2,0,17889388,,,,,,5841.672679459
17669,8709,8980,0,2,2609754,,,,,,853.853849268
17669,7748,9928,0,0,8303120,,,,,,2707.729647684
17669,9259,8420,0,0,9558382,,,,,,3082.956044376
17669,9065,8934,0,0,4200056,,,,,,1321.907411314
17669,9526,8211,0,0,6342674,,,,,,2060.368043761
17669,8604,9085,0,0,9747208,,,,,,3196.587696305
17669,9738,7946,0,0,8454500,,,,,,2674.923525364
17669,8467,9549,0,0,5326386,,,,,,1670.384589332
17669,9472,8206,0,2,4593920,,,,,,1504.970592318
17669,8402,9470,0,0,5235276,,,,,,1687.867290644
17669,7997,9682,0,0,3339444,,,,,,1063.098042055
17669,8548,9392,0,0,5742294,,,,,,1836.965658198
17669,8386,9386,0,0,16717928,,,,,,5377.431883423
17669,8440,9251,0,0,4369908,,,,,,1395.503630401
17669,8590,9085,0,0,19501658,,,,,,6361.951923744
17669,8443,9234,0,0,3167978,,,,,,1058.752750844
17669,9050,8752,0,0,5815156,,,,,,1907.518349211
17669,8456,9283,0,0,3293880,,,,,,1034.077534764
17669,8701,9193,0,0,4057910,,,,,,1304.61926596
17669,9006,9026,0,2,3915428,,,,,,1257.789592001
17669,9641,8040,0,0,8614904,,,,,,2765.895555503
17669,8982,9020,0,0,8226202,,,,,,2601.259378369
17669,7715,9960,0,2,19931672,,,,,,6640.88074868
17669,9892,7907,0,0,3556996,,,,,,1147.046123634
17669,8933,8755,0,0,4981406,,,,,,1579.554194116
17669,8590,9349,0,0,7404650,,,,,,2401.389172611
17669,8942,8737,0,0,15431516,,,,,,4918.4629455
