key_bits,recovered_zeros_x,recovered_zeros_y,wrong_zeros_x,wrong_zeros_y,queries,traces,calibration_traces,threshold,tpr,tnr,attack_tpr,attack_tnr,duration_seconds,test_outcomes_0_false,test_outcomes_0_true,test_outcomes_1_false,test_outcomes_1_true,test_outcomes_2_false,test_outcomes_2_true
17669,10314,10612,0,0,1035,,,,,,1,1,0.223583218,374,277,170,107,0,107
17669,10878,10043,2,0,3139,,,,,,1,1,0.674476797,1379,794,622,172,2,170
17669,10777,10151,0,0,3563,,,,,,1,1,0.741522644,1649,870,696,174,1,173
17669,11225,9695,0,0,3494,,,,,,1,1,0.743917603,1570,889,743,146,0,146
17669,11150,10067,0,0,3751,,,,,,1,1,0.781654946,1707,927,737,190,0,190
17669,10953,10319,2,2,4184,,,,,,1,1,0.866702489,1862,1074,900,174,2,172
17669,9315,11618,0,0,4221,,,,,,1,1,0.899812086,1891,1067,871,196,0,196
17669,9613,11309,0,0,4015,,,,,,1,1,0.907872943,1724,1052,865,187,1,186
17669,9726,11407,0,0,4756,,,,,,1,1,0.999487094,2203,1189,1014,175,0,175
17669,9980,10957,0,0,1378,,,,,,1,1,0.291719407,606,331,221,110,1,109
17669,10015,10920,4,0,5487,,,,,,1,1,1.133330063,2572,1362,1171,191,0,191
17669,11523,9556,0,2,5378,,,,,,1,1,1.143371394,2506,1347,1169,178,0,178
17669,10993,10149,0,0,5815,,,,,,1,1,1.196790467,2768,1425,1228,197,0,197
17669,10589,10337,2,0,6636,,,,,,1,1,1.374425192,3183,1625,1422,203,1,202
17669,10232,10938,0,2,3384,,,,,,1,1,0.703394915,1585,818,655,163,2,161
17669,9784,11135,0,0,2592,,,,,,1,1,0.565829342,1067,684,527,157,0,157
17669,9737,11183,2,2,7331,,,,,,1,1,1.604473138,3548,1769,1524,245,5,240
17669,10673,10252,0,1,2584,,,,,,1,1,0.529205463,1148,641,487,154,1,153
17669,9950,10972,0,0,5369,,,,,,1,1,1.130025964,2490,1349,1168,181,1,180
17669,10129,10792,0,0,9207,,,,,,1,1,1.927887506,4535,2227,2009,218,0,218
17669,10405,10609,0,0,3929,,,,,,1,1,0.803852194,1749,1002,826,176,0,176
17669,10780,10148,0,0,3038,,,,,,1,1,0.630834965,1382,753,603,150,0,150
17669,10491,10555,0,2,6158,,,,,,1,1,1.259597243,2898,1525,1315,210,4,206
17669,11666,9257,0,0,3197,,,,,,1,1,0.679201446,1432,810,665,145,0,145
17669,10481,10445,0,0,3508,,,,,,1,1,0.72275707,1678,837,681,156,0,156
17669,10424,10508,2,1,5728,,,,,,1,1,1.173296357,2664,1424,1208,216,0,216
17669,11418,9759,2,0,4580,,,,,,1,1,0.965078873,2164,1110,914,196,0,196
17669,9946,10985,0,0,10123,,,,,,1,1,2.09584851,5118,2384,2147,237,0,237
17669,10624,10452,2,0,19773,,,,,,1,1,4.095969435,9944,4759,4448,311,2,309
17669,10570,10352,0,2,6283,,,,,,1,1,1.3079986909999999,3033,1532,1346,186,2,184
17669,10166,10759,0,0,2694,,,,,,1,1,0.562815839,1168,685,529,156,0,156
17669,10119,10800,0,4,26796,,,,,,1,1,5.536733004,13856,6318,6014,304,1,303
17669,11113,9767,3,0,33961,,,,,,1,1,7.111780529,18074,7817,7564,253,1,252
17669,10896,9351,1,1,35436,,,,,,1,1,7.325764983,18632,8264,7988,276,1,275
17669,10930,10025,0,2,20617,,,,,,1,1,4.272850581,10490,4935,4678,257,0,257
17669,10680,10195,0,0,35175,,,,,,1,1,7.340144126,18438,8210,7893,317,0,317
17669,10797,9107,2,0,36069,,,,,,1,1,7.448063314,18644,8566,8273,293,2,291
17669,11228,9217,3,0,35523,,,,,,1,1,7.48840962,18773,8246,7988,258,0,258
17669,9514,10878,2,0,36270,,,,,,1,1,7.533118958,18260,8856,8558,298,2,296
17669,9619,9271,2,2,35742,,,,,,1,1,7.641928106,18717,8378,8109,269,12,257
17669,10682,10293,3,0,27641,,,,,,1,1,5.791997239,14186,6579,6282,297,1,296
17669,10820,10204,0,2,2048,,,,,,1,1,0.426131886,907,508,383,125,1,124
17669,10199,9012,2,0,37709,,,,,,1,1,7.799984008,19449,8984,8692,292,1,291
17669,10082,9496,2,1,34694,,,,,,1,1,7.163148846,18221,8112,7863,249,10,239
17669,10683,9508,0,2,35939,,,,,,1,1,7.428184923,18793,8426,8132,294,0,294
17669,10565,9329,4,0,35750,,,,,,1,1,7.32892937,18273,8590,8293,297,4,293
17669,9110,10144,0,0,38598,,,,,,1,1,8.123869887,19001,9641,9326,315,3,312
17669,10341,8234,0,0,36738,,,,,,1,1,7.580941552,18950,8771,8525,246,2,244
17669,11017,9763,1,2,35658,,,,,,1,1,7.392215885,18365,8489,8174,315,8,307
17669,10379,10400,2,0,32116,,,,,,1,1,6.705267308,16990,7426,7152,274,1,273
17669,9580,11342,0,4,25695,,,,,,1,1,5.290545647,12994,6214,5941,273,5,268
17669,10376,10543,0,0,35840,,,,,,1,1,7.412026785,18466,8512,8162,350,3,347
17669,11744,9175,0,0,9627,,,,,,1,1,1.980149554,4488,2432,2157,275,1,274
17669,11551,9416,2,0,1827,,,,,,1,1,0.385875723,809,441,305,136,0,136
17669,9482,11471,0,0,7772,,,,,,1,1,1.60326447,3725,1916,1701,215,0,215
17669,10462,10129,4,2,37129,,,,,,1,1,7.723658378,18773,9026,8722,304,4,300
17669,10547,10424,0,0,3301,,,,,,1,1,0.687403181,1465,837,675,162,0,162
17669,10521,10568,4,1,6198,,,,,,1,1,1.281711183,2856,1560,1338,222,2,220
17669,10176,10750,0,0,5762,,,,,,1,1,1.1850636589999999,2724,1426,1240,186,1,185
17669,8865,10287,0,0,37104,,,,,,1,1,7.633064474,19136,8832,8528,304,2,302
17669,10709,10210,2,0,6247,,,,,,1,1,1.287244002,2993,1527,1327,200,0,200
17669,10130,10455,2,2,37343,,,,,,1,1,7.828788015,19337,8852,8550,302,2,300
17669,9463,11486,0,2,10624,,,,,,1,1,2.180744114,5363,2514,2281,233,2,231
17669,10263,10884,1,2,16944,,,,,,1,1,3.471122883,8526,4076,3810,266,0,266
